product_id,category,subcategory,brand,rating,ratings_count,initial_price,discount,final_price,return&exchange,try&buy,1_star,2_star,3_star,4_star,5_star,fit,transparency,comfort,stretch,length,is_best_offer,is_more_offer,best_offer,more_offers,what_customers_said
18652628,Clothing,undergarments,max,4.2,5,$649,20,$649,Return,FALSE,3,0,3,4,6,JustRight,Low,None,None,JustRight,FALSE,TRUE,,"[""offer_name"":""10%InstantDiscountonCitiCredit&DebitCards"",""offer_value"":""MinSpend₹3,000;MaxDiscount₹1,000.""]","percentage:73,value_name:Fit,JustRight,percentage:79,value_name:Length,JustRight,percentage:63,value_name:Transparency,Low"
13611204,Clothing,tops,Roadster,4.2,266,"$1,889",58,"$1,889",Both,TRUE,9,4,2,8,50,JustRight,Low,None,None,JustRight,FALSE,TRUE,,"[""offer_name"":""10%InstantDiscountonCitiCredit&DebitCards"",""offer_value"":""MinSpend₹3,000;MaxDiscount₹1,000.""]","percentage:73,value_name:Fit,JustRight,percentage:79,value_name:Length,JustRight,percentage:63,value_name:Transparency,Low"
14335776,Clothing,sweaters,INVICTUS,4,345,"$2,199",35,"$2,199",None,FALSE,33,5,10,55,147,JustRight,None,None,None,JustRight,FALSE,TRUE,,"[""offer_name"":""10%InstantDiscountonCitiCredit&DebitCards"",""offer_value"":""MinSpend₹3,000;MaxDiscount₹1,000."",""offer_name"":""EMIoptionavailable""]","percentage:68,value_name:Fit,JustRight,percentage:74,value_name:Length,JustRight,percentage:53,value_name:Thickness,Medium"
18207478,Clothing,dresses,TokyoTalkies,4.1,333,$699,60,$279,Both,TRUE,0,21,69,282,647,JustRight,Low,None,None,JustRight,TRUE,TRUE,"""applicable_on"":""OrdersaboveRs.449(onlyonfirstpurchase)"",""best_price"":""186"",""coupon_code"":""TOPundergarmentsNDOFFER"",""coupon_discount"":""Rs.93.0off(checkcartforfinalsavings)""","[""offer_name"":""10%InstantDiscountonIndusIndBankDebitCards"",""offer_value"":""MinSpend₹2,500;MaxDiscount₹1,000."",""offer_name"":""10%InstantDiscountonCitiCredit&DebitCards"",""offer_value"":""MinSpend₹3,000;MaxDiscount₹1,000."",""offer_name"":""10%InstantDiscountonYesBankCreditCards"",""offer_value"":""MinSpend₹3,500;MaxDiscount₹1,000."",""offer_name"":""Flat₹100CashbackonMobiwkikWallet/Zip"",""offer_value"":""MinSpend₹1,999."",""offer_name"":""7.5%DiscountonMyntraKotakCreditCard."",""offer_value"":""MaxDiscountUpto₹750oneveryspends."",""offer_name"":""EMIoptionavailable"",""offer_value"":""EMIstartingfromRs.14/month""]","percentage:69,value_name:Fit,JustRight,percentage:94,value_name:Length,JustRight,percentage:56,value_name:Transparency,Low"
11990978,Clothing,sweaters,Roadster,4.4,302,"$1,999",61,"$1,999",None,FALSE,2,0,0,4,8,JustRight,None,None,None,JustRight,FALSE,TRUE,,"[""offer_name"":""10%InstantDiscountonCitiCredit&DebitCards"",""offer_value"":""MinSpend₹3,000;MaxDiscount₹1,000."",""offer_name"":""EMIoptionavailable""]","percentage:82,value_name:Fit,JustRight,percentage:95,value_name:Length,JustRight,percentage:51,value_name:Thickness,Medium"
16287654,Clothing,sarees,Sareemall,4.1,359,"$4,099",75,"$1,024",Both,FALSE,0,2,0,5,33,None,None,None,None,None,TRUE,TRUE,"""applicable_on"":""OrdersaboveRs.999(onlyonfirstpurchase)"",""best_price"":""724"",""coupon_code"":""MYNTRA300"",""coupon_discount"":""Rs.300.0off(checkcartforfinalsavings)""","[""offer_name"":""10%InstantDiscountonIndusIndBankDebitCards"",""offer_value"":""MinSpend₹2,500;MaxDiscount₹1,000."",""offer_name"":""10%InstantDiscountonCitiCredit&DebitCards"",""offer_value"":""MinSpend₹3,000;MaxDiscount₹1,000."",""offer_name"":""10%InstantDiscountonYesBankCreditCards"",""offer_value"":""MinSpend₹3,500;MaxDiscount₹1,000."",""offer_name"":""Flat₹100CashbackonMobiwkikWallet/Zip"",""offer_value"":""MinSpend₹1,999."",""offer_name"":""7.5%DiscountonMyntraKotakCreditCard."",""offer_value"":""MaxDiscountUpto₹750oneveryspends."",""offer_name"":""EMIoptionavailable"",""offer_value"":""EMIstartingfromRs.48/month""]","percentage:50,value_name:FabricQuality,Good,percentage:85,value_name:MatchesProductPhotos,Exactly,percentage:75,value_name:Length,JustRight"
18478530,Clothing,tops,Paralians,3.7,454,$999,50,$999,Both,TRUE,0,1,0,2,2,JustRight,Medium,None,None,JustRight,FALSE,TRUE,,"[""offer_name"":""10%InstantDiscountonCitiCredit&DebitCards"",""offer_value"":""MinSpend₹3,000;MaxDiscount₹1,000.""]","percentage:59,value_name:Fit,JustRight,percentage:78,value_name:Length,JustRight,percentage:78,value_name:Transparency,Medium"
16287616,Clothing,tunics,Juniper,4.3,346,"$1,299",51,$636,Both,TRUE,1,0,0,3,7,None,None,None,None,None,TRUE,TRUE,"""applicable_on"":""OrdersaboveRs.649(onlyonfirstpurchase)"",""best_price"":""440"",""coupon_code"":""MYNTRA200"",""coupon_discount"":""Rs.196.0off(checkcartforfinalsavings)""","[""offer_name"":""10%InstantDiscountonIndusIndBankDebitCards"",""offer_value"":""MinSpend₹2,500;MaxDiscount₹1,000."",""offer_name"":""10%InstantDiscountonCitiCredit&DebitCards"",""offer_value"":""MinSpend₹3,000;MaxDiscount₹1,000."",""offer_name"":""10%InstantDiscountonYesBankCreditCards"",""offer_value"":""MinSpend₹3,500;MaxDiscount₹1,000."",""offer_name"":""Flat₹100CashbackonMobiwkikWallet/Zip"",""offer_value"":""MinSpend₹1,999."",""offer_name"":""7.5%DiscountonMyntraKotakCreditCard."",""offer_value"":""MaxDiscountUpto₹750oneveryspends.""]",
16287462,Clothing,tunics,Juniper,4.3,335,"$1,299",43,$740,Both,TRUE,1,1,1,2,17,None,None,None,None,None,TRUE,TRUE,"""applicable_on"":""OrdersaboveRs.999(onlyonfirstpurchase)"",""best_price"":""518"",""coupon_code"":""MYNTRA300"",""coupon_discount"":""Rs.222.0off(checkcartforfinalsavings)""","[""offer_name"":""10%InstantDiscountonIndusIndBankDebitCards"",""offer_value"":""MinSpend₹2,500;MaxDiscount₹1,000."",""offer_name"":""10%InstantDiscountonCitiCredit&DebitCards"",""offer_value"":""MinSpend₹3,000;MaxDiscount₹1,000."",""offer_name"":""10%InstantDiscountonYesBankCreditCards"",""offer_value"":""MinSpend₹3,500;MaxDiscount₹1,000."",""offer_name"":""Flat₹100CashbackonMobiwkikWallet/Zip"",""offer_value"":""MinSpend₹1,999."",""offer_name"":""7.5%DiscountonMyntraKotakCreditCard."",""offer_value"":""MaxDiscountUpto₹750oneveryspends.""]",
14991614,Clothing,jackets,Roadster,4.2,363,"$1,699",50,$509,None,FALSE,0,1,0,2,3,JustRight,None,None,None,JustRight,TRUE,TRUE,"""applicable_on"":""OrdersaboveRs.749(onlyonfirstpurchase)"",""best_price"":""339"",""coupon_code"":""TOPundergarmentsNDOFFER"",""coupon_discount"":""Rs.170.0off(checkcartforfinalsavings)""","[""offer_name"":""10%InstantDiscountonIndusIndBankDebitCards"",""offer_value"":""MinSpend₹2,500;MaxDiscount₹1,000."",""offer_name"":""10%InstantDiscountonCitiCredit&DebitCards"",""offer_value"":""MinSpend₹3,000;MaxDiscount₹1,000."",""offer_name"":""10%InstantDiscountonYesBankCreditCards"",""offer_value"":""MinSpend₹3,500;MaxDiscount₹1,000."",""offer_name"":""Flat₹100CashbackonMobiwkikWallet/Zip"",""offer_value"":""MinSpend₹1,999."",""offer_name"":""7.5%DiscountonMyntraKotakCreditCard."",""offer_value"":""MaxDiscountUpto₹750oneveryspends."",""offer_name"":""EMIoptionavailable"",""offer_value"":""EMIstartingfromRs.24/month""]","percentage:88,value_name:Fit,JustRight,percentage:82,value_name:Length,JustRight,percentage:85,value_name:Thickness,Medium"
